Описание;Ссылка;Дата;Изображение
В «Сенеже» дети представили лучшие идеи для проектов «Движения Первых»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/163;10 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-02-13_13-33-54.jpg
Вузы – в деле!;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/162;09 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/%D0%9C%D0%98%D0%9D%D0%98%D0%9D%D0%A1%D0%9A%D0%98%D0%98.jpeg
Поздравления защитникам присылают со всех уголков России;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/161;09 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-02-09_14-22-01.jpg
Поздравляем наших учёных, молодых и юных исследователей с Днём российской науки!;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/160;08 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-02-08_11-35-40.jpg
«Движение Первых» – в университетах страны!;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/159;08 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/_ulNv5Qw-CH6BlhH3PrfPqi3Uy46IgkzwHinuKIYTohriOTD7H7wTxSW83jHhoHczSQdVDBbDx5s_TrIdzAN.jpg
Все дети России с тобой, Сталинград!;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/158;07 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_20230207_112659.jpg
Ребята делятся впечатления от онлайн-марафона «14 дней в Движении»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/157;07 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_20230207_111442.jpg
В «Машуке» начал работу форум наставничества «Движения Первых»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/156;06 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/_DSF2690.jpg
«Движение Первых» провело Всероссийскую акцию для детей и молодежи «Замечай»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/155;03 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-02-03_19-09-01.jpg
Российская молодёжь встретилась с Президентом России в Волгограде;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/154;03 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-02-03_11-54-14.jpg
Первый детский совет инициатив «Движения Первых» в «Орлёнке» поделился итогами своей работы;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/153;02 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-02-02_09-37-06_q9jRVY4.jpg
Председатель правления «Движения Первых» Григорий Гуров стал гостем Открытого родительского собрания;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/152;01 / 02 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_20230201_135456.jpg
На Открытом родительском собрании расскажут о «Движении Первых»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/151;31 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/%D0%91%D0%B0%D0%BD%D0%BD%D0%B5%D1%80_%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9.jpg
Быть в Движении — это круто!;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/150;30 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_20230130_184055.jpg
«Разговоры о важном»: Григорий Гуров даст российским школьникам урок о ценностях «Движения Первых»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/148;29 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_20230129_180003_630_9UGhV0v.jpg
К Дню первооткрывателя в России стартовала акция «Замечай»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/149;29 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_20230130_181358.jpg
Главный тренер женской сборной России по футболу вступил в ряды наставников «Движения Первых»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/147;27 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_20230127_151503.jpg
Сегодня «Движение Первых» и проект «Другое Дело» запускают онлайн-марафон «14 дней в Движении»!;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/146;27 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-01-26_21-26-49.jpg
От Калининграда до Камчатки: «Движение Первых» открывает «первички» в самых удивительных местах страны;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/145;26 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/DSC06546.jpg
Президент России поддержал создание первичных отделений «Движения Первых» на базе вузов;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/144;25 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/yAmX8Xuxv0apAeYOOi8AUJXDSiMJA9Nr.jpg
Открытие первичных отделений и патриотические акции: в регионах каждый день проходят классные события;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/143;25 / 01 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/LimbA4FHDJx8ZWC0o2O8wwNouogk_yj07LODOMoirCusA1Ear78Rf7EtI5WmBSR1aqXdDm9yALVw_83u8Gdt.jpg
